OID_,CID,random,DR_SLOPE,DR_ROAD,DR_DRA,DR_DEM,DR_ASPECT,PGA0_1,PGV0_1,DIS_FAULT0_1,PP0_1,POINT_X,POINT_Y,DR_GEO,PGV01,PGA01,DIS_FAULT01,PP01,DR_FAULT,DR_PGA,DR_PGV,DR_PP,DIS_FAULT,PGA,PGV,PP,P_PP,P_PP_V,P_PP_A,P_PGV,P_PGA,P_FAU,P_FAU_A
58,0,0.015703917,1.3505726,1.335148,1.0484922,0.837518,0.5656102,-1.819499672,-1.428141,1.470358597,-1.612155998,362506.8061,3777925.578,1.5959048,0.15,0.119999971,0.757997711,0.140418913,0.1831135,1.2643212,0.707796,0.0335741,18.1729,0.42,36,0.322213,0.034423,0.0136268,0.0074579,0.3777756,0.4245797,0.6172757,0.5756645
59,0,0.016191185,1.3505726,0.6660407,0.9781319,0.837518,1.4390537,-1.32943172,-1.7628933,1.818576711,-1.633031887,343961.3592,3786778.366,0.6808639,0.075,0.239999971,0.843091047,0.134586083,0.166549,1.2643212,0.1274126,0.0335741,20.2128,0.48,30,0.31975,0.0162865,0.0379426,0.0058759,0.067358,0.093723,0.2170398,0.20117
60,0,0.016297698,0.2045381,0.1167302,0.5590755,0.837518,1.298568,-0.676007783,-0.0891318,-0.450670556,0.904223513,351634.5642,3813852.566,1.5959048,0.45,0.399999971,0.28855981,0.843508216,1.3560724,1.0941976,1.1547459,1.3733321,6.9193,0.56,60,0.619103,0.0708964,0.1952897,0.1130459,0.1777013,0.1910811,0.011578,0.0098245
61,0,0.016466975,0.2045381,1.335148,0.5590755,0.0125011,1.2945342,0.794196074,0.5803728,0.374544409,-0.777510318,355493.1494,3790159.355,0.0553545,0.6,0.759999971,0.490215875,0.373623184,0.9397259,1.0628572,1.2530659,0.5332748,11.7535,0.74,72,0.420687,0.0066663,0.0064513,0.0107504,0.004474,0.0016195,0.0112619,0.0102721
62,0,0.016630292,0.2045381,1.335148,0.5590755,0.0125011,0.6707735,-0.839363767,-1.2049729,1.691419658,-1.18906114,339291.0952,3792127.544,0.6808639,0.2,0.359999971,0.812017942,0.25863378,0.1831135,1.0941976,0.707796,0.0335741,19.4679,0.54,40,0.372131,0.0003476,0.0001093,0.0003068,0.0012051,0.0035122,0.0067062,0.0207346
63,0,0.016749084,0.2045381,0.6591374,0.5590755,0.0125011,1.4390537,0.957552058,-0.7586365,0.840087054,-0.759050031,345020.7341,3793352.597,0.6808639,0.3,0.799999971,0.603979564,0.378781083,0.9397259,1.0628572,0.707796,0.5332748,14.4807,0.76,48,0.422865,0.0124071,0.0099321,0.0157196,0.0025605,0.0016805,0.0120211,0.0137483
64,0,0.01687187,1.3505726,1.9570681,0.9781319,0.837518,0.6707735,-1.166075736,-1.7628933,1.696062794,-1.326631808,340941.4591,3790111.993,0.6808639,0.075,0.279999971,0.813152576,0.220195831,0.1831135,1.2643212,0.1274126,0.0335741,19.4951,0.5,30,0.3559,0.0850213,0.2063612,0.0297132,0.2786841,0.3600837,0.6824382,0.7290879
65,0,0.01690644,0.2045381,0.4474685,0.9781319,0.0125011,0.5656102,-0.512651799,-0.3123,0.454023969,-0.824957832,363694.5816,3784451.478,0.0553545,0.4,0.439999971,0.50963813,0.360366106,0.9397259,1.0941976,1.1547459,0.5332748,12.2191,0.58,56,0.415089,0.0007649,0.0030004,0.0014671,0.001597,0.0007558,0.0014068,0.0013599
66,0,0.016988695,5.0127993,0.6591374,0.9781319,0.837518,1.2945342,-0.676007783,-1.0933888,1.405388837,-0.839968469,338816.8923,3796299.193,0.6808639,0.225,0.399999971,0.742121185,0.356172057,0.1831135,1.0941976,0.707796,0.5332748,17.7923,0.56,42,0.413318,0.8577833,0.8303347,0.8965066,0.7647678,0.9029114,0.883294,0.9461908
67,0,0.017191648,0.2045381,0.1167302,0.9781319,0.837518,0.6437082,-1.32943172,-1.0933888,0.14143168,0.635049137,350935.4413,3817899.978,1.5959048,0.225,0.239999971,0.433250602,0.768299519,0.9397259,1.2643212,0.707796,1.6518499,10.3879,0.48,42,0.587345,0.0672325,0.0452175,0.0209386,0.0252096,0.0357086,0.0682428,0.029227
