OID_,CID,random,DR_SLOPE,DR_ROAD,DR_DRA,DR_DEM,DR_ASPECT,PGA0_1,PGV0_1,DIS_FAULT0_1,PP0_1,POINT_X,POINT_Y,DR_GEO,PGV01,PGA01,DIS_FAULT01,PP01,DR_FAULT,DR_PGA,DR_PGV,DR_PP,DIS_FAULT,PGA,PGV,PP,P_PP,P_PP_V,P_PP_A,P_PGV,P_PGA,P_FAU,P_FAU_A
26,1,0.007812262,9.1183329,1.9570681,1.0484922,1.7059875,1.298568,0.63084009,1.4730456,-1.066193315,0.998076018,-118.6185559,34.36270049,1.5959048,0.8,0.719999971,0.138145793,0.869731086,1.2932247,1.0628572,1.2530659,1.3733321,3.3135,0.72,88,0.630176,0.9924002,0.9904346,0.9938123,0.9949334,0.9885018,0.9618745,0.8670357
27,1,0.008092105,5.0127993,1.9570681,0.9781319,2.6639924,1.4390537,0.140772137,1.0267092,-0.744246473,0.824601871,-118.6488871,34.37014088,1.5959048,0.7,0.599999971,0.216819273,0.821261523,1.3560724,0.7828309,1.2530659,1.3733321,5.1995,0.66,80,0.609709,0.9964703,0.9952127,0.9956012,0.9974675,0.9970559,0.9805258,0.9405874
28,1,0.008245587,5.0127993,1.335148,1.289903,0.837518,1.0189182,-0.349295815,0.9151251,-0.803839073,0.934295642,-118.6491811,34.38729104,1.5959048,0.675,0.479999971,0.202256754,0.851910523,1.2932247,0.7828309,1.2530659,1.3733321,4.8504,0.6,78,0.622651,0.9697927,0.9670099,0.9622757,0.9784797,0.9748641,0.8734705,0.4692889
29,1,0.008292317,1.3505726,1.335148,0.9781319,0.837518,0.8505477,-1.166075736,-0.6470523,0.34065976,0.153945921,-118.7152087,34.37328031,1.5959048,0.325,0.279999971,0.481935554,0.63387682,0.9397259,1.2643212,0.707796,1.6518499,11.555,0.5,50,0.530583,0.9053383,0.8805869,0.7975417,0.7804001,0.841309,0.9168273,0.8492848
30,1,0.008706391,1.3505726,1.9570681,0.8860558,2.6639924,1.2945342,-2.14621164,-1.8744775,1.621175159,-1.742708706,-118.5033933,34.12817126,0.6808639,0.05,0.039999971,0.79485244,0.103941818,0.1831135,1.2643212,0.1274126,0.0335741,19.0564,0.38,28,0.30681,0.2516182,0.4623213,0.0706333,0.6125396,0.4633162,0.8907086,0.894259
31,1,0.008912981,2.8545845,1.9570681,1.289903,1.7059875,1.2945342,-1.166075736,-0.9818047,-0.829427531,0.843621561,-118.3982969,34.33938666,1.3795432,0.25,0.279999971,0.196003756,0.826575721,1.2932247,1.2643212,0.707796,1.3733321,4.7005,0.5,44,0.611953,0.8972467,0.8476131,0.8705691,0.8321581,0.859724,0.5998886,0.1580246
32,1,0.009418428,2.8545845,0.6660407,1.289903,2.6639924,1.298568,0.467484105,1.2498773,-0.913908703,0.912326375,-118.6351245,34.36384315,1.5959048,0.75,0.679999971,0.175359267,0.845772198,1.2932247,0.7828309,1.2530659,1.3733321,4.2056,0.7,84,0.620059,0.9467985,0.9209263,0.9547826,0.9547826,0.9484364,0.7461151,0.340066
33,1,0.010005176,5.0127993,0.6591374,1.289903,0.837518,0.8505477,-0.839363767,-0.2007159,-0.461441948,0.881321908,-118.6454798,34.43976186,1.5959048,0.425,0.359999971,0.285927627,0.837109391,1.3560724,1.0941976,1.1547459,1.3733321,6.8562,0.54,58,0.616401,0.9327676,0.9813119,0.956395,0.9770675,0.969822,0.6861113,0.5974859
34,1,0.010178864,2.8545845,1.9570681,1.0484922,1.7059875,1.0189182,-0.349295815,0.0224523,-0.049363647,0.320842849,-118.6881055,34.35867227,1.5959048,0.475,0.479999971,0.386626345,0.680508676,1.3560724,0.7828309,1.1547459,1.6518499,9.2702,0.6,62,0.550274,0.9430529,0.9891963,0.885543,0.9785637,0.9287073,0.7020335,0.4358555
35,1,0.010275602,5.0127993,1.9570681,0.9781319,2.6639924,0.6582797,1.284264026,0.4687887,-0.158255423,0.179483499,-118.6536171,34.32053811,0.6808639,0.575,0.879999971,0.360016688,0.64101215,1.3560724,0.9155879,1.1547459,1.6518499,8.6323,0.8,70,0.533596,0.883397,0.9637012,0.9723744,0.8983477,0.740967,0.3707503,0.6364529
